X,Real,Imaginary
14.99588748,-0.001019818,0.001517781
14.99436209,-0.001024651,0.001531487
14.9928367,-0.001033732,0.00152876
14.99131131,-0.001021129,0.001497839
14.98978592,-0.001016506,0.00155973
14.98826053,-0.000980076,0.001483821
14.98673514,-0.001038211,0.001532
14.98520975,-0.001022612,0.001501886
14.98368436,-0.001014833,0.001532313
14.98215896,-0.000980318,0.001466165
14.98063357,-0.001054463,0.001508254
14.97910818,-0.001036345,0.001540169
14.97758279,-0.001033757,0.001508179
14.9760574,-0.001058542,0.001539066
14.97453201,-0.001007999,0.001547134
14.97300662,-0.000976832,0.00153631
14.97148123,-0.001009406,0.001510303
14.96995584,-0.001011496,0.001515204
14.96843045,-0.001037644,0.001509059
14.96690505,-0.001017497,0.001548386
14.96537966,-0.00102203,0.001508639
14.96385427,-0.000994129,0.001499135
14.96232888,-0.001012866,0.001531569
14.96080349,-0.001013254,0.001494046
14.9592781,-0.001027491,0.001528024
14.95775271,-0.001041068,0.00153796
14.95622732,-0.001014384,0.001500857
14.95470193,-0.001001532,0.001507475
14.95317653,-0.0010411,0.001533204
14.95165114,-0.001025113,0.001536541
14.95012575,-0.001037491,0.001549043
14.94860036,-0.001012243,0.001532718
14.94707497,-0.000968671,0.001501474
14.94554958,-0.001038342,0.001479595
14.94402419,-0.001031422,0.001499714
14.9424988,-0.001049391,0.001523497
14.94097341,-0.001051676,0.001531874
14.93944802,-0.001002687,0.001536981
14.93792262,-0.001004038,0.001556651
14.93639723,-0.000989807,0.001525552
14.93487184,-0.001033679,0.001517809
14.93334645,-0.00100041,0.001498775
14.93182106,-0.001056419,0.00152051
14.93029567,-0.001069381,0.001522847
14.92877028,-0.001013817,0.001513845
14.92724489,-0.00103527,0.001565717
14.9257195,-0.0010052,0.001524002
14.9241941,-0.001017469,0.001550366
14.92266871,-0.00103023,0.001520517
14.92114332,-0.001006297,0.001542397
14.91961793,-0.001032011,0.001511589
14.91809254,-0.001037988,0.001529817
14.91656715,-0.001008551,0.001543497
14.91504176,-0.001049903,0.001515148
14.91351637,-0.000992748,0.001565867
14.91199098,-0.001006477,0.001528393
14.91046559,-0.001033509,0.001561569
14.90894019,-0.00099767,0.001503841
14.9074148,-0.001036923,0.0014929
14.90588941,-0.001021393,0.001541064
14.90436402,-0.001026058,0.001536947
14.90283863,-0.00104685,0.001546858
14.90131324,-0.000998086,0.001525097
14.89978785,-0.001031609,0.001541807
14.89826246,-0.001041009,0.001553752
14.89673707,-0.001003437,0.001532139
14.89521168,-0.001015099,0.001557075
14.89368628,-0.000984301,0.001528707
14.89216089,-0.001031479,0.001528317
14.8906355,-0.001002653,0.001517053
14.88911011,-0.001049174,0.001539165
14.88758472,-0.001016202,0.001542718
14.88605933,-0.001013478,0.001528824
14.88453394,-0.001009616,0.001551796
14.88300855,-0.000994478,0.001513171
14.88148316,-0.00106735,0.00152479
14.87995776,-0.001009354,0.001598964
14.87843237,-0.000995112,0.001528951
14.87690698,-0.000996568,0.001553236
14.87538159,-0.00101152,0.001520123
14.8738562,-0.00101668,0.001494517
14.87233081,-0.001002059,0.001533226
14.87080542,-0.001044736,0.001529356
14.86928003,-0.0010326,0.001517945
14.86775464,-0.001021789,0.001561457
14.86622925,-0.000994824,0.001531614
14.86470385,-0.001018937,0.001517689
14.86317846,-0.001013394,0.001512158
14.86165307,-0.001036888,0.00154592
14.86012768,-0.001034581,0.001536245
14.85860229,-0.001028152,0.001521236
14.8570769,-0.001047976,0.001544816
14.85555151,-0.001028908,0.001540956
14.85402612,-0.000991105,0.001563322
14.85250073,-0.001009668,0.001549869
14.85097533,-0.001008154,0.001518572
14.84944994,-0.001027774,0.001540499
14.84792455,-0.001000111,0.001532639
